SerialNumber,Type,Model,TowingCapacity
72259,Hybrid,I-15,100
84293,Hybrid,B-12,49
96363,Hybrid,M-10,55
66811,Diesel,J-17,37
57775,Diesel,B-14,62
62835,Electric,H-10,34
86163,Electric,H-12,59
84464,Diesel,H-12,33
53273,Diesel,H-16,56
59334,Electric,H-15,24
64076,Diesel,C-14,87
91772,Hybrid,E-11,49
52616,Diesel,P-16,83
63651,Electric,N-20,44
85370,Diesel,B-13,73
84941,Electric,E-18,80
90470,Hybrid,A-16,66
79905,Diesel,L-17,21
93870,Hybrid,L-12,16
80185,Electric,P-17,17
72731,Electric,E-18,65
59342,Hybrid,I-12,40
50860,Diesel,G-17,30
79082,Hybrid,H-16,91
95015,Electric,F-10,68
83676,Hybrid,K-12,50
51523,Hybrid,B-15,12
70433,Hybrid,M-16,56
67745,Diesel,C-16,48
59963,Hybrid,I-14,21
96507,Diesel,N-16,21
60126,Diesel,H-14,64
50901,Hybrid,I-15,18
97742,Electric,H-18,56
89340,Electric,C-18,53
64001,Hybrid,A-15,20
56825,Hybrid,D-18,34
53966,Electric,I-13,35
98595,Hybrid,M-14,62
78097,Hybrid,J-16,63
81508,Hybrid,A-12,92
93421,Hybrid,P-11,78
92687,Hybrid,C-16,50
95530,Electric,G-12,83
68653,Hybrid,G-10,37
88229,Electric,N-20,73
99989,Diesel,O-15,93
64905,Electric,G-20,42
93792,Diesel,O-11,10
73260,Diesel,D-12,52
85564,Electric,H-12,43
86829,Electric,M-11,78
89070,Diesel,K-20,92
54591,Electric,J-16,12
53457,Diesel,I-15,21
99326,Diesel,B-17,14
78073,Diesel,F-20,34
60391,Diesel,L-17,28
72709,Diesel,I-18,94
86046,Hybrid,O-14,17
60746,Diesel,L-15,69
60069,Electric,P-13,77
71919,Diesel,F-18,16
59030,Electric,L-10,81
96993,Electric,N-12,57
80928,Diesel,P-18,63
56950,Electric,A-17,47
58505,Hybrid,I-14,33
53901,Hybrid,J-10,12
57878,Diesel,A-17,49
90806,Diesel,F-17,93
70495,Electric,F-11,58
95384,Electric,L-20,72
63356,Electric,G-16,58
77247,Diesel,E-18,35
97990,Hybrid,H-10,23
71900,Electric,M-16,66
59026,Electric,A-16,82
90531,Diesel,O-14,34
92992,Electric,E-19,12
66112,Diesel,I-16,19
81887,Hybrid,O-19,20
56018,Electric,N-11,82
71859,Diesel,P-16,13
83562,Electric,D-17,89
89678,Electric,N-18,47
55261,Electric,B-19,59
57615,Electric,N-20,11
64098,Hybrid,I-18,20
92657,Hybrid,G-15,17
55594,Electric,L-12,27
92005,Hybrid,J-10,57
76627,Hybrid,E-16,54
59039,Hybrid,M-13,19
50960,Electric,M-17,81
