SerialNumber,Model,Capacity,CargoGroup
17218,A-10,5853,Metals
31482,H-11,3731,Automobiles
13470,C-11,6882,Goods
27233,L-11,4488,Machinery
43838,N-12,1822,Automobiles
49297,G-15,1625,Machinery
31343,D-13,7163,Electronics
26415,J-12,9603,Oil
35031,M-13,8281,Automobiles
42549,I-11,2333,Livestock
37335,H-11,6455,Oil
20019,C-12,7194,Raw Minerals
12157,F-19,8110,Electronics
17722,K-18,3380,Agricultural
36399,I-20,4140,Chemicals
19685,E-13,8531,Chemicals
25610,O-12,9618,Agricultural
49238,P-15,6269,Intermodal Containers
44823,M-20,6321,Chemicals
24275,F-13,2450,Agricultural
18433,M-10,8740,Agricultural
14771,B-12,8141,Chemicals
13553,P-13,6227,Forestry
47968,O-13,1423,Agricultural
21395,E-15,3325,Oil
11086,L-11,2594,Agricultural
46094,I-10,7172,Raw Minerals
15134,B-14,2372,Raw Minerals
12141,J-13,7683,Goods
48969,N-20,2330,Agricultural
27951,A-20,3584,Automobiles
47809,P-19,2747,Intermodal Containers
24357,D-16,7898,Machinery
30090,C-14,5666,Metals
31267,L-16,8168,Food
27078,G-14,2574,Raw Minerals
20283,F-13,8154,Goods
21410,P-12,6021,Goods
38349,L-18,1430,Food
43368,J-17,8249,Automobiles
38817,F-15,7296,Agricultural
18177,A-19,2366,Forestry
11187,A-12,6747,Forestry
49787,M-14,3234,Intermodal Containers
21280,O-17,7608,Forestry
22764,M-10,1445,Automobiles
44978,P-17,9811,Machinery
40253,K-15,6810,Livestock
37548,E-11,3727,Automobiles
24353,B-16,7347,Goods
23256,A-14,2212,Oil
35546,I-17,2632,Chemicals
24108,N-15,4036,Machinery
41481,B-20,7475,Livestock
16182,K-18,9859,Agricultural
44418,K-14,8191,Building Materials
38055,O-16,6327,Machinery
18496,M-17,1663,Agricultural
14208,L-13,6906,Oil
12574,K-19,7381,Machinery
46324,K-11,2125,Machinery
37408,K-17,9432,Food
42686,B-12,2120,Livestock
46678,I-18,8697,Automobiles
14679,I-12,8195,Building Materials
44036,G-17,6886,Metals
46544,L-18,9558,Livestock
38116,E-12,7313,Forestry
13677,O-20,9683,Goods
27363,J-17,1997,Livestock
27835,B-16,6748,Building Materials
49476,G-19,5682,Machinery
36493,E-18,7071,Raw Minerals
13535,L-19,6597,Intermodal Containers
31442,K-20,9954,Electronics
32535,F-12,5848,Raw Minerals
12547,F-16,8725,Automobiles
28177,B-18,9139,Food
42958,I-11,2855,Metals
28625,P-19,7422,Intermodal Containers
44729,H-16,6566,Chemicals
48662,G-12,5537,Machinery
39254,C-15,3639,Electronics
38081,D-14,5830,Metals
44234,O-10,7126,Building Materials
45989,H-14,2274,Raw Minerals
47235,L-17,4875,Machinery
47427,I-14,5301,Goods
28286,H-10,3181,Food
26345,M-15,3130,Raw Minerals
42162,H-12,4498,Oil
49545,M-19,1252,Chemicals
46456,O-16,3283,Agricultural
44003,C-14,4219,Intermodal Containers
11343,H-15,7700,Livestock
24979,N-19,2489,Automobiles
48643,O-14,1540,Agricultural
33007,L-16,9390,Raw Minerals
39092,O-10,4196,Machinery
23590,D-14,8716,Livestock
39004,D-19,1141,Intermodal Containers
12104,N-19,7879,Forestry
18124,J-16,9276,Food
14026,O-17,7614,Chemicals
26084,K-11,8837,Chemicals
32126,M-20,9659,Intermodal Containers
41280,C-12,4890,Goods
46672,G-20,8650,Metals
45945,H-17,7985,Building Materials
48949,A-18,8339,Goods
18489,J-12,6279,Goods
12701,M-12,1820,Forestry
10878,K-13,4494,Intermodal Containers
31501,J-16,4751,Electronics
33341,F-15,6739,Metals
16752,M-11,9700,Electronics
23089,L-15,7060,Raw Minerals
12986,C-17,1673,Automobiles
36925,N-14,1408,Building Materials
26051,B-16,6063,Chemicals
49790,F-16,2522,Building Materials
39138,E-10,3729,Intermodal Containers
30588,E-18,9865,Oil
45926,E-13,9186,Chemicals
25854,B-20,3770,Livestock
30777,I-12,5248,Electronics
44600,O-13,1187,Chemicals
17277,F-16,3276,Forestry
42470,G-18,7690,Metals
13108,L-16,3629,Oil
12407,L-10,5543,Agricultural
23591,P-15,9335,Oil
41547,C-18,6557,Agricultural
36684,C-19,2930,Agricultural
21281,M-16,7124,Oil
19467,O-18,4049,Food
45433,I-13,7299,Forestry
23300,K-11,9395,Forestry
32981,E-20,8458,Food
17626,P-19,9172,Agricultural
32965,H-11,2857,Livestock
36695,A-12,6326,Raw Minerals
28857,P-15,9349,Raw Minerals
45325,E-14,9568,Automobiles
48882,A-10,2162,Livestock
46201,J-10,2790,Raw Minerals
47717,D-20,1209,Forestry
37852,N-15,9000,Agricultural
28803,I-14,2644,Food
10200,N-19,3757,Automobiles
32425,J-18,7731,Automobiles
19123,P-16,7702,Metals
32112,K-18,8168,Building Materials
37111,J-13,1708,Forestry
